"Id","Code","Name","Standard Class","Domain","Vocab","Validity","Concept"
702955,252313,"aspirin 350 MG / meprobamate 200 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
704946,197945,"aspirin 325 MG / methocarbamol 400 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
734515,247979,"aspirin 325 MG / phenobarbital 15 MG Oral Capsule","Clinical Drug","Drug","RxNorm","Valid","Standard"
739574,2474494,"acetaminophen / aspirin / caffeine Effervescent Oral Tablet","Clinical Drug Form","Drug","RxNorm","Valid","Standard"
739575,2474495,"acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Effervescent Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
749933,197447,"aspirin 325 MG / carisoprodol 200 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
794113,1944109,"acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG [Arthriten Max]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
794114,1944110,"acetaminophen / aspirin / caffeine Oral Tablet [Arthriten Max]","Branded Drug Form","Drug","RxNorm","Valid","Standard"
794117,1944113,"acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Arthriten Max]","Branded Drug","Drug","RxNorm","Valid","Standard"
926773,251481,"aspirin 500 MG / papain 20000 UNT Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
1100148,247372,"aspirin 325 MG / codeine 8 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
1100168,249626,"aspirin 500 MG / codeine 8 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
1100307,314986,"aspirin 200 MG / butalbital 50 MG / caffeine 40 MG / codeine 30 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
1100308,314988,"aspirin 380 MG / caffeine 30 MG / codeine 30 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
1112807,1191,"aspirin","Ingredient","Drug","RxNorm","Valid","Standard"
1112834,197374,"aspirin 800 MG Extended Release Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
1112835,197429,"aspirin 650 MG / butalbital 50 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
1112836,198461,"aspirin 120 MG Rectal Suppository","Clinical Drug","Drug","RxNorm","Valid","Standard"
1112837,198462,"aspirin 125 MG Rectal Suppository","Clinical Drug","Drug","RxNorm","Valid","Standard"
1112838,198463,"aspirin 200 MG Rectal Suppository","Clinical Drug","Drug","RxNorm","Valid","Standard"
